Timestamp,Open,High,Low,Close,Volume,DLYQty,DLYPercentage
2020-01-01 00:00:00+05:30,152.8,155.15,151.45,154.6,14266524.0,3734478.0,26.18
2020-01-02 00:00:00+05:30,155.3,159.85,155.3,159.45,17137897.0,3700905.0,21.59
2020-01-03 00:00:00+05:30,158.4,160.9,156.7,157.75,12108687.0,1996014.0,16.48
2020-01-06 00:00:00+05:30,156.9,157.7,150.05,150.55,11218355.0,2599202.0,23.17
2020-01-07 00:00:00+05:30,152.8,156.8,152.55,156.0,24417974.0,4710731.0,19.29
2020-01-08 00:00:00+05:30,153.25,158.2,152.45,157.35,18095375.0,4116481.0,22.75
2020-01-09 00:00:00+05:30,159.4,160.2,157.4,158.15,11725302.0,3298864.0,28.13
2020-01-10 00:00:00+05:30,159.5,163.3,157.6,159.95,20995863.0,4045202.0,19.27
2020-01-13 00:00:00+05:30,160.5,161.45,158.25,160.45,9331492.0,1253599.0,13.43
2020-01-14 00:00:00+05:30,161.4,166.1,161.0,165.0,19728091.0,3697220.0,18.74
2020-01-15 00:00:00+05:30,165.0,165.45,161.8,164.65,11633598.0,1832623.0,15.75
2020-01-16 00:00:00+05:30,162.9,163.7,160.4,162.25,11990967.0,2104389.0,17.55
2020-01-17 00:00:00+05:30,162.7,162.7,159.0,159.5,9518702.0,2497054.0,26.23
2020-01-20 00:00:00+05:30,159.35,159.9,156.2,156.9,7944434.0,1976444.0,24.88
2020-01-21 00:00:00+05:30,157.0,158.4,153.55,153.9,10481008.0,2619852.0,25.0
2020-01-22 00:00:00+05:30,155.85,158.25,152.8,153.2,15503961.0,3661641.0,23.62
2020-01-23 00:00:00+05:30,153.6,155.4,152.35,154.15,12087029.0,4785385.0,39.59
2020-01-24 00:00:00+05:30,155.0,157.1,153.75,155.9,8012015.0,1992658.0,24.87
2020-01-27 00:00:00+05:30,153.4,153.4,148.1,148.85,13357039.0,3586024.0,26.85
2020-01-28 00:00:00+05:30,147.75,147.75,141.55,142.2,22438597.0,6688181.0,29.81
2020-01-29 00:00:00+05:30,144.45,145.4,141.9,142.2,12603444.0,2498922.0,19.83
2020-01-30 00:00:00+05:30,142.15,143.4,139.8,140.95,15625276.0,2042089.0,13.07
2020-01-31 00:00:00+05:30,140.85,141.7,137.5,137.9,13980768.0,4330170.0,30.97
2020-02-01 00:00:00+05:30,138.75,139.0,133.5,134.9,15204251.0,3458060.0,22.74
2020-02-03 00:00:00+05:30,134.35,136.8,132.85,134.15,13658383.0,2547178.0,18.65
2020-02-04 00:00:00+05:30,135.9,138.9,134.8,138.55,11370911.0,2165753.0,19.05
2020-02-05 00:00:00+05:30,139.3,143.9,137.6,143.1,17304767.0,4272597.0,24.69
2020-02-06 00:00:00+05:30,144.85,146.8,142.7,143.85,15736536.0,2563201.0,16.29
2020-02-07 00:00:00+05:30,143.85,145.3,141.75,144.6,9671106.0,1997601.0,20.66
2020-02-10 00:00:00+05:30,143.7,143.7,139.55,140.3,10029897.0,2031476.0,20.25
2020-02-11 00:00:00+05:30,141.65,143.6,140.2,140.75,9087616.0,1882873.0,20.72
2020-02-12 00:00:00+05:30,142.0,143.9,141.15,141.55,9280214.0,2003947.0,21.59
2020-02-13 00:00:00+05:30,142.35,143.35,140.3,142.5,6820884.0,1082341.0,15.87
2020-02-14 00:00:00+05:30,142.7,143.9,140.75,141.1,6336170.0,1044056.0,16.48
2020-02-17 00:00:00+05:30,141.3,143.8,140.8,142.1,8475514.0,1942075.0,22.91
2020-02-18 00:00:00+05:30,141.75,141.75,137.5,140.55,13205238.0,4373340.0,33.12
2020-02-19 00:00:00+05:30,142.0,144.2,141.6,142.65,8824394.0,2332170.0,26.43
2020-02-20 00:00:00+05:30,141.8,144.75,140.8,142.35,11236035.0,4587887.0,40.83
2020-02-24 00:00:00+05:30,139.85,139.95,132.3,133.2,22666897.0,9385790.0,41.41
2020-02-25 00:00:00+05:30,134.4,135.9,132.05,132.7,14590593.0,4293211.0,29.42
2020-02-26 00:00:00+05:30,131.0,133.7,129.35,130.25,14605029.0,4624185.0,31.66
2020-02-27 00:00:00+05:30,130.0,131.4,126.4,130.55,15600307.0,5355597.0,34.33
2020-02-28 00:00:00+05:30,126.0,126.0,112.1,114.0,57363091.0,24766560.0,43.18
2020-03-02 00:00:00+05:30,117.55,119.4,109.0,110.95,32732879.0,8580323.0,26.21
2020-03-03 00:00:00+05:30,114.25,121.0,113.65,119.55,36975433.0,8081581.0,21.86
2020-03-04 00:00:00+05:30,119.0,120.0,115.1,119.35,38623129.0,11015809.0,28.52
2020-03-05 00:00:00+05:30,118.5,122.2,116.0,117.1,26357440.0,6427182.0,24.38
2020-03-06 00:00:00+05:30,111.7,113.4,108.1,111.05,16482554.0,4460438.0,27.06
2020-03-09 00:00:00+05:30,104.0,105.45,93.4,94.9,38812756.0,9756147.0,25.14
2020-03-11 00:00:00+05:30,92.0,95.5,91.25,92.0,33275612.0,7151330.0,21.49
2020-03-12 00:00:00+05:30,84.75,85.5,78.25,79.85,38860033.0,9924019.0,25.54
2020-03-13 00:00:00+05:30,73.15,86.6,68.9,84.05,45056264.0,12350381.0,27.41
2020-03-16 00:00:00+05:30,78.0,80.7,74.25,74.85,33777113.0,7889394.0,23.36
2020-03-17 00:00:00+05:30,76.55,80.45,74.4,75.0,32830615.0,7455966.0,22.71
2020-03-18 00:00:00+05:30,78.0,78.65,72.1,72.95,30564821.0,7714855.0,25.24
2020-03-19 00:00:00+05:30,69.45,73.65,67.8,69.35,31319910.0,9132539.0,29.16
2020-03-20 00:00:00+05:30,72.4,78.0,70.4,75.45,29770505.0,7215481.0,24.24
2020-03-23 00:00:00+05:30,67.95,71.3,61.65,62.65,22554580.0,11474564.0,50.87
2020-03-24 00:00:00+05:30,67.5,68.45,62.35,62.8,30625806.0,10607939.0,34.64
2020-03-25 00:00:00+05:30,62.7,65.0,62.35,64.2,29906847.0,14256358.0,47.67
2020-03-26 00:00:00+05:30,65.6,69.2,63.5,65.8,29684035.0,11832393.0,39.86
2020-03-27 00:00:00+05:30,68.55,68.85,63.0,63.75,26206043.0,9695425.0,37.0
2020-03-30 00:00:00+05:30,61.8,62.9,60.2,61.55,17613254.0,5522627.0,31.35
2020-03-31 00:00:00+05:30,63.45,67.0,62.6,64.7,44630391.0,17718668.0,39.7
2020-04-01 00:00:00+05:30,65.0,65.4,62.35,62.65,23338192.0,10828297.0,46.4
2020-04-03 00:00:00+05:30,64.0,64.45,62.2,62.8,24226287.0,10283934.0,42.45
2020-04-07 00:00:00+05:30,66.3,67.7,65.1,66.75,45746171.0,21581131.0,47.18
2020-04-08 00:00:00+05:30,65.95,73.4,65.0,70.3,49394737.0,10835149.0,21.94
2020-04-09 00:00:00+05:30,73.0,77.3,72.8,76.8,41602363.0,11243694.0,27.03
2020-04-13 00:00:00+05:30,77.6,79.45,73.65,78.3,37471015.0,6712039.0,17.91
2020-04-15 00:00:00+05:30,79.5,83.2,77.6,78.6,43610924.0,9523658.0,21.84
2020-04-16 00:00:00+05:30,77.8,84.65,77.15,82.7,54489625.0,13933776.0,25.57
2020-04-17 00:00:00+05:30,87.0,87.0,82.85,84.1,30176554.0,6274761.0,20.79
2020-04-20 00:00:00+05:30,86.45,86.45,80.8,81.45,33264777.0,8821244.0,26.52
2020-04-21 00:00:00+05:30,77.4,79.5,73.8,78.45,44069545.0,6443429.0,14.62
2020-04-22 00:00:00+05:30,75.95,77.2,73.35,76.1,37108747.0,6231630.0,16.79
2020-04-23 00:00:00+05:30,77.75,78.55,76.6,77.6,24258405.0,3795770.0,15.65
2020-04-24 00:00:00+05:30,76.8,80.25,75.7,77.95,33734788.0,5151653.0,15.27
2020-04-27 00:00:00+05:30,78.8,79.9,78.15,78.45,16789673.0,2687168.0,16.0
2020-04-28 00:00:00+05:30,78.5,78.8,75.8,76.85,33514515.0,11232964.0,33.52
2020-04-29 00:00:00+05:30,77.05,79.95,77.0,79.15,27243902.0,6858011.0,25.17
2020-04-30 00:00:00+05:30,82.0,91.0,81.5,89.55,63687038.0,16629345.0,26.11
2020-05-04 00:00:00+05:30,82.65,83.7,77.4,79.95,33175416.0,10937189.0,32.97
2020-05-05 00:00:00+05:30,81.8,83.2,78.5,78.9,29105785.0,5376849.0,18.47
2020-05-06 00:00:00+05:30,79.7,80.9,77.95,79.45,20997197.0,3239275.0,15.43
2020-05-07 00:00:00+05:30,78.9,80.6,78.05,78.55,15605038.0,2701394.0,17.31
2020-05-08 00:00:00+05:30,80.6,80.8,77.05,77.4,15998934.0,3774868.0,23.59
2020-05-11 00:00:00+05:30,78.85,80.5,78.0,79.6,33344596.0,13334297.0,39.99
2020-05-12 00:00:00+05:30,79.45,90.5,79.05,89.05,112770254.0,18964439.0,16.82
2020-05-13 00:00:00+05:30,97.95,97.95,88.5,90.25,145841554.0,29449377.0,20.19
2020-05-14 00:00:00+05:30,88.4,91.8,87.75,89.15,38572778.0,6698129.0,17.36
2020-05-15 00:00:00+05:30,90.0,95.55,88.2,92.95,75496782.0,9827779.0,13.02
2020-05-18 00:00:00+05:30,93.95,95.65,90.1,92.5,88008676.0,16407723.0,18.64
2020-05-19 00:00:00+05:30,93.25,93.8,89.55,90.0,36133110.0,8424770.0,23.32
2020-05-20 00:00:00+05:30,90.05,90.55,88.25,88.55,21380770.0,7167309.0,33.52
2020-05-21 00:00:00+05:30,89.0,91.75,88.15,90.2,31501740.0,6926852.0,21.99
2020-05-22 00:00:00+05:30,90.0,90.4,88.6,89.1,15805466.0,3890453.0,24.61
2020-05-26 00:00:00+05:30,89.5,90.25,87.55,87.9,17958373.0,5692053.0,31.7
2020-05-27 00:00:00+05:30,88.5,88.95,86.25,87.9,17368769.0,4652813.0,26.79
2020-05-28 00:00:00+05:30,88.9,90.95,88.05,89.95,22037867.0,7081149.0,32.13
2020-05-29 00:00:00+05:30,89.6,92.7,89.0,92.2,34104166.0,15421739.0,45.22
2020-06-01 00:00:00+05:30,93.3,97.05,92.75,93.65,23682719.0,7810700.0,32.98
