Action,Date,Price,Quantity,Capital,Company Index
Buy,2024-01-02,1394.35,28,40000.0,129
Sell,2024-01-23,1450.124,28,41445.53132830489,129
Buy,2024-01-03,1183.2,35,41445.53132830489,51
Sell (Updated Stop Loss),2024-01-24,1039.84,35,36313.84414336088,51
Buy,2024-01-04,7705.55,4,36313.84414336088,6
Sell (Updated Stop Loss),2024-01-17,7333.2,4,34730.06845331088,6
Buy,2024-01-04,761.4,45,34730.06845331088,65
Sell (DEMA Condition),2024-01-16,786.85,45,35770.31587172338,65
Buy,2024-01-04,2216.15,16,35770.31587172338,119
Sell (DEMA Condition),2024-01-17,2318.9,16,37306.08650075538,119
Buy,2024-01-04,1533.3,24,37306.08650075538,136
Sell (Updated Stop Loss),2024-01-23,1412.5140000000001,24,34301.07162190883,136
Buy,2024-01-11,4342.2,7,34301.07162190883,20
Sell,2024-01-23,4515.888,7,35420.44421375547,20
Buy,2024-01-11,2279.75,15,35420.44421375547,39
Sell (DEMA Condition),2024-02-02,2405.5,15,37201.013230842975,39
Buy,2024-01-12,1308.05,28,37201.013230842975,46
Sell (Updated Stop Loss),2024-01-16,1334.211,28,37823.703330966295,46
Buy,2024-01-12,4656.75,8,37823.703330966295,137
Sell (DEMA Condition),2024-01-25,6707.3,8,54099.380544762294,137
Buy,2024-01-17,1454.45,37,54099.380544762294,71
Sell (Updated Stop Loss),2024-01-25,1483.539,37,55027.08092200326,71
Buy,2024-01-18,6545.5,8,55027.08092200326,137
Sell (Updated Stop Loss),2024-01-23,6676.41,8,55929.04060907446,137
Buy,2024-01-18,1769.6,31,55929.04060907446,145
Sell (Updated Stop Loss),2024-01-23,1804.992,31,56875.24734747254,145
Buy,2024-01-25,2467.65,23,56875.24734747254,100
Sell (Updated Stop Loss),2024-01-31,2517.003,23,57855.13887488505,100
Buy,2024-01-31,1224.23,47,57855.13887488505,14
Sell (Updated Stop Loss),2024-02-14,1248.7146,47,58848.92166256455,14
Buy,2024-01-31,2325.1,25,58848.92166256455,87
Sell (Updated Stop Loss),2024-02-22,2371.602,25,59853.150310304045,87
Buy,2024-02-01,1254.55,47,59853.150310304045,68
Sell (Max Holding Period),2024-03-05,1244.7,47,59231.82624933155,68
Buy,2024-02-02,279.18,212,59231.82624933155,8
Sell (DEMA Condition),2024-02-12,295.23,212,62471.23897841835,8
Buy,2024-02-02,128.3,486,62471.23897841835,143
