token,symbol,name
4014,NAVA-EQ,NAVA
11427,NDTV-EQ,NDTV
19496,SECMARK-EQ,SECMARK
19633,ITETF-EQ,ITETF
9342,PNC-EQ,PNC
20831,MUTHOOTMF-EQ,MUTHOOTMF
18214,TEXMOPIPES-EQ,TEXMOPIPES
16965,TATAMTRDVR-EQ,TATAMTRDVR
385,MAHLOG-EQ,MAHLOG
3987,GREENPLY-EQ,GREENPLY
805,DCM-EQ,DCM
3149,BORORENEW-EQ,BORORENEW
21423,MOM100-EQ,MOM100
199,MASFIN-EQ,MASFIN
12072,SCPL-EQ,SCPL
13560,GRINDWELL-EQ,GRINDWELL
4809,KCPSUGIND-EQ,KCPSUGIND
10693,MOMENTUM-EQ,MOMENTUM
11966,BIKAJI-EQ,BIKAJI
7456,MIDQ50ADD-EQ,MIDQ50ADD
10893,DBOL-EQ,DBOL
22440,UTIBANKETF-EQ,UTIBANKETF
1927,LIQUIDETF-EQ,LIQUIDETF
20224,JWL-EQ,JWL
18102,NIFTY1-EQ,NIFTY1
20560,DOLLAR-EQ,DOLLAR
1250,CASTROLIND-EQ,CASTROLIND
7851,RAMCOSYS-EQ,RAMCOSYS
18244,DEEPENR-EQ,DEEPENR
11689,SUPRAJIT-EQ,SUPRAJIT
5204,GMDCLTD-EQ,GMDCLTD
20905,AZAD-EQ,AZAD
2866,RCF-EQ,RCF
3247,NITIRAJ-EQ,NITIRAJ
6364,NATIONALUM-EQ,NATIONALUM
14309,INDIANB-EQ,INDIANB
1530,INDIANHUME-EQ,INDIANHUME
3220,LODHA-EQ,LODHA
3499,TATASTEEL-EQ,TATASTEEL
1403,HINDOILEXP-EQ,HINDOILEXP
3812,ZEEL-EQ,ZEEL
128,ROUTE-EQ,ROUTE
16589,VAISHALI-EQ,VAISHALI
11239,NSIL-EQ,NSIL
19223,TCIEXP-EQ,TCIEXP
10661,PONNIERODE-EQ,PONNIERODE
15058,AVALON-EQ,AVALON
21704,DCAL-EQ,DCAL
18391,RBLBANK-EQ,RBLBANK
17752,SHILPAMED-EQ,SHILPAMED
13791,PARSVNATH-EQ,PARSVNATH
6040,EIFFL-EQ,EIFFL
11060,KSOLVES-EQ,KSOLVES
166,ANDHRAPAP-EQ,ANDHRAPAP
21383,PALASHSECU-EQ,PALASHSECU
24190,SYMPHONY-EQ,SYMPHONY
15234,AMBIKCO-EQ,AMBIKCO
4749,CONCOR-EQ,CONCOR
