Action,Date,Price,Quantity,Capital,Company Index
Buy,2021-01-06,110.33,905,100000.0,36
Sell (Updated Stop Loss),2021-01-12,112.5366,905,101744.53898839818,36
Buy,2021-01-14,504.63,200,101744.53898839818,70
Sell (Updated Stop Loss),2021-01-15,476.90049999999997,200,95952.22200346718,70
Buy,2021-01-21,1131.95,83,95952.22200346718,69
Sell (Updated Stop Loss),2021-01-29,1154.5890000000002,83,97592.12672323192,69
Buy,2021-02-02,1445.4,66,97592.12672323192,50
Sell (Updated Stop Loss),2021-02-09,1474.3080000000002,66,99257.66389326705,50
Buy,2021-02-10,96.4,1028,99257.66389326705,88
Sell (Updated Stop Loss),2021-02-12,98.328,1028,100988.9044566504,88
Buy,2021-02-16,126.87,795,100988.9044566504,36
Sell (Updated Stop Loss),2021-02-19,129.4074,795,102751.41836604396,36
Buy,2021-02-23,1196.2,84,102751.41836604396,52
Sell (Updated Stop Loss),2021-02-25,1126.17,84,96623.85160661716,52
Buy,2021-03-02,61.3,1575,96623.85160661716,53
Sell (DEMA Condition),2021-03-12,75.55,1575,118799.70732910465,53
Buy,2021-03-19,129.49,916,118799.70732910465,36
Sell (Updated Stop Loss),2021-03-26,119.5719,916,109432.76072756096,36
Buy,2021-04-01,508.75,214,109432.76072756096,27
Sell (DEMA Condition),2021-04-16,619.4,214,132815.06002084998,27
Buy,2021-04-20,477.95,276,132815.06002084998,72
Sell (DEMA Condition),2021-04-30,521.95,276,144623.67888204602,72
Buy,2021-05-04,95.83,1508,144623.67888204602,67
Sell (DEMA Condition),2021-05-14,101.8,1508,153266.43022291764,67
Buy,2021-05-20,15845.8,8,153266.43022291764,61
Sell (Max Holding Period),2021-06-22,15128.6,8,147224.91484512563,61
Buy,2021-06-23,56.17,2620,147224.91484512563,60
Sell (DEMA Condition),2021-07-05,59.73,2620,156185.81691994565,60
Buy,2021-07-14,4214.75,36,156185.81691994565,29
Sell (Updated Stop Loss),2021-07-16,4299.045,36,158850.96907942544,29
Buy,2021-07-20,3159.05,49,158850.96907942544,3
Sell (Max Holding Period),2021-08-20,3112.95,49,156221.67282854542,3
Buy,2021-08-24,5760.8,26,156221.67282854542,76
Sell (DEMA Condition),2021-09-06,6218.9,26,167757.24870808338,76
Buy,2021-09-08,6715.25,23,167757.24870808338,76
Sell (Updated Stop Loss),2021-09-17,6849.555,23,170470.66078007774,76
Buy,2021-09-28,174.55,975,170470.66078007774,12
Sell (DEMA Condition),2021-10-07,190.7,975,185792.02941076524,12
Buy,2021-10-13,935.35,197,185792.02941076524,31
Sell (Updated Stop Loss),2021-10-29,866.21,197,171747.920857448,31
Buy,2021-11-03,1889.5,89,171747.920857448,30
Sell (DEMA Condition),2021-11-15,1947.05,89,176461.3669336535,30
Buy,2021-11-16,8050.35,20,176461.3669336535,32
Sell (Updated Stop Loss),2021-11-26,7308.998500000001,20,161264.0981723848,32
Buy,2021-12-07,1537.3,103,161264.0981723848,94
Sell,2021-12-24,1598.792,103,167209.85732676086,94
Buy,2021-12-31,475.55,350,167209.85732676086,21
Sell (DEMA Condition),2022-01-18,496.0,350,173960.42846658587,21
Buy,2022-02-10,122.75,1416,173960.42846658587,53
Sell (Updated Stop Loss),2022-02-14,125.205,1416,177017.42680606706,53
Buy,2022-03-09,359.35,491,177017.42680606706,99
Sell (Updated Stop Loss),2022-03-14,366.53700000000003,491,180121.036617628,99
Buy,2022-03-16,731.08,245,180121.036617628,70
Sell (Max Holding Period),2022-04-18,868.98,245,213441.56988199102,70
Buy,2022-04-26,681.5,312,213441.56988199102,91
Sell (Updated Stop Loss),2022-05-04,633.5070000000001,312,197982.38766429637,91
Buy,2022-05-05,2221.1,88,197982.38766429637,50
Sell (Updated Stop Loss),2022-05-10,2265.522,88,201423.4211667778,50
Buy,2022-05-20,356.85,563,201423.4211667778,99
Sell (Updated Stop Loss),2022-05-25,363.987,563,204961.1563728078,99
Buy,2022-05-26,1816.2,111,204961.1563728078,77
Sell (Updated Stop Loss),2022-06-17,1615.2440000000001,111,182202.49638376216,77
Buy,2022-06-23,2819.05,63,182202.49638376216,15
Sell (DEMA Condition),2022-07-14,2955.1,63,190340.21916783263,15
Buy,2022-07-21,948.1,199,190340.21916783263,25
Sell (DEMA Condition),2022-08-04,1050.2,199,210186.84637082566,25
Buy,2022-08-17,1684.03,123,210186.84637082566,7
Sell,2022-09-01,1751.3912,123,217973.20055821066,7
Buy,2022-09-06,247.35,880,217973.20055821066,93
Sell (Updated Stop Loss),2022-09-22,230.084,880,202282.7438747275,93
Buy,2022-10-21,900.4,223,202282.7438747275,4
Sell (Max Holding Period),2022-11-23,874.7,223,196082.39723634452,4
Buy,2022-11-29,593.1,329,196082.39723634452,66
Sell (Max Holding Period),2022-12-30,561.45,329,185218.16834881005,66
Buy,2023-01-03,595.6,309,185218.16834881005,19
Sell (Updated Stop Loss),2023-01-09,607.5120000000001,309,188456.6264435404,19
Buy,2023-01-25,1037.9,180,188456.6264435404,91
Sell (Updated Stop Loss),2023-02-14,1058.6580000000001,180,191744.441932388,91
Buy,2023-02-15,4487.9,41,191744.441932388,2
Sell (Updated Stop Loss),2023-02-17,4577.657999999999,41,194982.2523621466,2
Buy,2023-02-28,485.3,400,194982.2523621466,52
Sell (DEMA Condition),2023-03-28,935.65,400,374460.33673234656,52
Buy,2023-04-06,841.4,444,374460.33673234656,63
Sell (Max Holding Period),2023-05-09,983.55,444,436642.89141030854,63
Buy,2023-05-11,1984.65,219,436642.89141030854,0
Sell (DEMA Condition),2023-05-30,2496.45,219,547603.9958796694,0
Buy,2023-05-31,1835.8,297,547603.9958796694,94
Sell (DEMA Condition),2023-07-03,1891.0,297,562735.1546957535,94
Buy,2023-07-04,1629.0,344,562735.1546957535,7
Sell (Updated Stop Loss),2023-08-03,1518.147,344,523365.55171468214,7
Buy,2023-08-04,4884.0,106,523365.55171468214,76
Sell (Updated Stop Loss),2023-08-14,4403.8,106,471337.7431260542,76
Buy,2023-09-01,55.75,8453,471337.7431260542,75
Sell (DEMA Condition),2023-09-13,78.9,8453,665726.4577683747,75
Buy,2023-09-15,5130.5,128,665726.4577683747,5
Sell (Max Holding Period),2023-10-18,5137.35,128,665108.3827893668,5
Buy,2023-10-19,5482.6,120,665108.3827893668,5
Sell (Updated Stop Loss),2023-10-23,5592.252,120,676755.3350321363,5
Buy,2023-10-27,1935.2,348,676755.3350321363,39
Sell (Updated Stop Loss),2023-11-07,1973.904,348,688677.9902684479,39
