"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ABB","EQ","01-Jan-2024","4,674.85","4,674.85","4,715.00","4,653.80","4,668.00","4,682.20","4,683.19","84,544","39,59,35,611.70","12,510","33,919","40.12"
"ABB","EQ","02-Jan-2024","4,682.20","4,699.95","4,713.00","4,600.00","4,702.95","4,701.60","4,661.04","1,78,550","83,22,29,078.45","21,379","81,546","45.67"
"ABB","EQ","03-Jan-2024","4,701.60","4,714.00","4,829.90","4,699.10","4,779.95","4,775.55","4,784.06","2,91,954","1,39,67,26,863.50","37,142","1,45,345","49.78"
"ABB","EQ","04-Jan-2024","4,775.55","4,818.90","4,866.00","4,770.05","4,836.00","4,824.75","4,831.17","2,66,936","1,28,96,12,977.00","29,151","1,54,190","57.76"
"ABB","EQ","05-Jan-2024","4,824.75","4,855.95","4,900.00","4,802.00","4,817.15","4,832.35","4,848.87","1,18,877","57,64,19,600.10","18,959","42,593","35.83"
"ABB","EQ","08-Jan-2024","4,832.35","4,856.00","4,856.00","4,740.00","4,747.80","4,752.95","4,777.82","60,882","29,08,83,221.00","11,470","21,307","35.00"
"ABB","EQ","09-Jan-2024","4,752.95","4,784.00","4,973.65","4,780.00","4,926.00","4,920.40","4,917.64","5,71,239","2,80,91,46,320.85","65,596","1,88,120","32.93"
"ABB","EQ","10-Jan-2024","4,920.40","4,929.95","4,957.60","4,873.45","4,947.00","4,935.70","4,918.92","2,41,276","1,18,68,17,507.15","33,821","97,803","40.54"
"ABB","EQ","11-Jan-2024","4,935.70","4,947.95","4,990.05","4,860.00","4,879.00","4,871.85","4,916.86","87,455","43,00,04,403.20","13,937","29,723","33.99"
"ABB","EQ","12-Jan-2024","4,871.85","4,909.90","4,909.90","4,771.65","4,785.00","4,783.95","4,803.71","1,45,377","69,83,49,535.65","22,773","60,715","41.76"
"ABB","EQ","15-Jan-2024","4,783.95","4,809.00","4,809.00","4,725.00","4,761.00","4,752.90","4,758.06","1,04,057","49,51,09,350.10","12,696","33,348","32.05"
"ABB","EQ","16-Jan-2024","4,752.90","4,770.00","4,842.30","4,750.05","4,805.10","4,809.30","4,799.33","1,92,280","92,28,15,495.45","28,880","96,163","50.01"
"ABB","EQ","17-Jan-2024","4,809.30","4,798.00","4,863.70","4,731.40","4,775.00","4,773.05","4,802.61","1,63,852","78,69,17,300.60","24,610","74,431","45.43"
"ABB","EQ","18-Jan-2024","4,773.05","4,765.00","4,797.40","4,665.00","4,722.40","4,710.35","4,726.34","1,51,382","71,54,82,761.55","22,434","60,509","39.97"
"ABB","EQ","19-Jan-2024","4,710.35","4,738.45","4,844.10","4,738.45","4,830.00","4,820.45","4,815.14","1,32,723","63,90,79,289.40","22,825","54,400","40.99"
"ABB","EQ","20-Jan-2024","4,820.45","4,845.00","4,845.00","4,730.00","4,780.00","4,750.95","4,790.02","49,467","23,69,48,043.25","7,636","18,197","36.79"
"ABB","EQ","23-Jan-2024","4,750.95","4,750.95","4,897.00","4,735.90","4,769.90","4,770.55","4,830.68","3,48,426","1,68,31,34,549.60","43,736","1,78,276","51.17"
"ABB","EQ","24-Jan-2024","4,770.55","4,764.95","4,814.90","4,613.80","4,735.25","4,731.25","4,725.77","2,93,735","1,38,81,24,856.70","38,449","1,22,226","41.61"
"ABB","EQ","25-Jan-2024","4,731.25","4,768.00","4,794.95","4,665.00","4,734.95","4,739.30","4,709.81","1,14,581","53,96,54,284.40","15,367","47,571","41.52"
"ABB","EQ","29-Jan-2024","4,739.30","4,751.00","4,807.15","4,715.40","4,790.00","4,791.55","4,764.63","87,854","41,85,91,830.90","16,058","27,368","31.15"
"ABB","EQ","30-Jan-2024","4,791.55","4,825.00","4,860.00","4,715.95","4,726.95","4,729.75","4,790.62","1,52,802","73,20,15,735.90","25,194","84,896","55.56"
"ABB","EQ","31-Jan-2024","4,729.75","4,749.00","4,762.75","4,631.00","4,660.00","4,671.60","4,667.92","2,92,837","1,36,69,38,421.60","46,162","1,84,739","63.09"
"ABB","EQ","01-Feb-2024","4,671.60","4,692.00","4,698.00","4,340.30","4,520.00","4,546.05","4,493.28","8,25,760","3,71,03,72,199.55","1,24,995","2,91,360","35.28"
"ABB","EQ","02-Feb-2024","4,546.05","4,546.05","4,594.95","4,463.00","4,485.00","4,480.45","4,503.50","3,15,504","1,42,08,71,697.25","41,980","1,24,724","39.53"
"ABB","EQ","05-Feb-2024","4,480.45","4,500.00","4,538.50","4,343.75","4,358.00","4,368.20","4,428.92","2,90,961","1,28,86,41,726.20","44,409","1,49,859","51.50"
"ABB","EQ","06-Feb-2024","4,368.20","4,378.00","4,423.60","4,362.05","4,410.00","4,403.00","4,401.44","1,77,927","78,31,35,723.25","26,918","1,05,864","59.50"
