Action,Date,Price,Quantity,Capital,Company Index
Buy,2020-01-02,1494.65,6,10000.0,2
Sell (DEMA Condition),2020-01-28,1677.75,6,11050.144095175998,2
Buy,2020-01-29,4419.0,2,11050.144095175998,6
Sell (DEMA Condition),2020-02-14,4781.75,2,11727.894956110998,6
Buy,2020-02-19,1121.08,10,11727.894956110998,93
Sell (Updated Stop Loss),2020-03-09,1035.5235,10,10821.04694916615,93
Buy,2020-03-20,285.8,37,10821.04694916615,98
Sell (Updated Stop Loss),2020-03-24,291.516,37,10981.48525080283,98
Buy,2020-03-27,262.58,41,10981.48525080283,69
Sell (Updated Stop Loss),2020-04-03,267.8316,41,11145.315897351555,69
Buy,2020-04-28,104.1,107,11145.315897351555,53
Sell (Updated Stop Loss),2020-05-04,106.182,107,11315.763728044016,53
Buy,2020-05-13,31.85,355,11315.763728044016,52
Sell (Updated Stop Loss),2020-05-15,32.487,355,11489.193479243166,52
Buy,2020-05-19,35.3,325,11489.193479243166,52
Sell (Updated Stop Loss),2020-05-21,36.006,325,11665.564339183667,52
Buy,2020-05-28,277.78,41,11665.564339183667,69
Sell (DEMA Condition),2020-06-12,327.75,41,13659.410081525368,69
Buy,2020-06-16,356.48,38,13659.410081525368,69
Sell (DEMA Condition),2020-06-30,386.08,38,14725.499562776566,69
Buy,2020-07-03,572.15,25,14725.499562776566,19
Sell (Updated Stop Loss),2020-07-09,583.593,25,14952.108818638315,19
Buy,2020-07-15,262.75,56,14952.108818638315,49
Sell (Updated Stop Loss),2020-07-22,268.005,56,15185.997651339514,49
Buy,2020-07-23,2397.45,6,15185.997651339514,13
Sell (DEMA Condition),2020-08-14,3089.8,6,19276.13164965452,13
Buy,2020-08-18,213.7,90,19276.13164965452,0
Sell (DEMA Condition),2020-08-31,279.55,90,25125.85810097952,0
Buy,2020-09-16,639.45,39,25125.85810097952,31
Sell (Updated Stop Loss),2020-09-22,652.239,39,25541.173862075106,31
Buy,2020-09-24,1947.65,13,25541.173862075106,2
Sell (DEMA Condition),2020-10-05,2126.75,13,27783.124860163105,2
Buy,2020-10-07,1254.0,22,27783.124860163105,47
Sell (Updated Stop Loss),2020-10-29,1164.4365,22,25726.112631236974,47
Buy,2020-10-30,273.25,94,25726.112631236974,62
Sell (DEMA Condition),2020-11-11,304.35,94,28561.681531812977,62
Buy,2020-11-13,2514.6,11,28561.681531812977,15
Sell (Updated Stop Loss),2020-11-19,2564.892,11,29025.298017188456,15
Buy,2020-11-24,392.25,73,29025.298017188456,1
Sell (DEMA Condition),2020-12-10,471.0,73,34676.47602394096,1
Buy,2020-12-11,96.8,358,34676.47602394096,35
Sell (DEMA Condition),2020-12-17,101.5,358,36252.59921764696,35
Buy,2020-12-18,1731.8,20,36252.59921764696,81
Sell (DEMA Condition),2021-01-06,1795.4,20,37418.62202740696,81
Buy,2021-01-12,14649.3,2,37418.62202740696,60
Sell (Updated Stop Loss),2021-01-14,14942.286,2,37911.30358740284,60
Buy,2021-01-21,1131.95,33,37911.30358740284,68
Sell (Updated Stop Loss),2021-01-29,1154.5890000000002,33,38546.92835550208,68
Buy,2021-02-02,1445.4,26,38546.92835550208,50
Sell (Updated Stop Loss),2021-02-09,1474.3080000000002,26,39186.564210364406,50
Buy,2021-02-10,96.4,406,39186.564210364406,87
Sell (Updated Stop Loss),2021-02-12,98.328,406,39853.84560018312,87
Buy,2021-02-16,126.87,314,39853.84560018312,36
