Action,Date,Price,Quantity,Capital,Company Index
Sell (Updated Stop Loss),2021-02-19,129.4074,314,40533.526314081966,36
Buy,2021-02-25,705.0,57,40533.526314081966,1
Sell (Updated Stop Loss),2021-03-04,719.1,57,41219.37883155497,1
Buy,2021-03-09,971.3,42,41219.37883155497,38
Sell (Updated Stop Loss),2021-03-12,910.83,42,38564.16350907837,38
Buy,2021-03-19,129.49,297,38564.16350907837,36
Sell (Updated Stop Loss),2021-03-26,119.5719,297,35508.68322451671,36
Buy,2021-04-01,508.75,69,35508.68322451671,27
Sell (DEMA Condition),2021-04-16,619.4,69,43029.405893848205,27
Buy,2021-04-20,477.95,90,43029.405893848205,71
Sell (DEMA Condition),2021-04-30,521.95,90,46861.712044238215,71
Buy,2021-05-04,95.83,489,46861.712044238215,66
Sell (DEMA Condition),2021-05-14,101.8,489,49645.92199495851,66
Buy,2021-05-20,15845.8,3,49645.92199495851,60
Sell (Max Holding Period),2021-06-22,15128.6,3,47363.35372828652,60
Buy,2021-06-23,56.17,843,47363.35372828652,59
Sell (DEMA Condition),2021-07-05,59.73,843,50228.127029459516,59
Buy,2021-07-14,4214.75,11,50228.127029459516,29
Sell (Updated Stop Loss),2021-07-16,4299.045,11,51023.59018930057,29
Buy,2021-07-20,3159.05,16,51023.59018930057,3
Sell (Max Holding Period),2021-08-20,3112.95,16,50146.726107380564,3
Buy,2021-08-24,5760.8,8,50146.726107380564,75
Sell (DEMA Condition),2021-09-06,6218.9,8,53677.30330108456,75
Buy,2021-09-08,6715.25,7,53677.30330108456,75
Sell (Updated Stop Loss),2021-09-17,6849.555,7,54484.202627343715,75
Buy,2021-09-28,174.55,312,54484.202627343715,12
Sell (DEMA Condition),2021-10-07,190.7,312,59368.54458916371,12
Buy,2021-10-13,935.35,63,59368.54458916371,31
Sell (Updated Stop Loss),2021-10-29,866.21,63,54858.779924904906,31
Buy,2021-11-03,1889.5,29,54858.779924904906,30
Sell (DEMA Condition),2021-11-15,1947.05,29,56376.2848261404,30
Buy,2021-11-16,8050.35,7,56376.2848261404,32
Sell (Updated Stop Loss),2021-11-26,7308.998500000001,7,51039.56075969635,32
Buy,2021-12-07,1537.3,33,51039.56075969635,93
Sell,2021-12-24,1598.792,33,52926.02728488479,93
Buy,2021-12-31,475.55,111,52926.02728488479,21
Sell (DEMA Condition),2022-01-18,496.0,111,55048.348989229286,21
Buy,2022-02-10,122.75,448,55048.348989229286,52
Sell (Updated Stop Loss),2022-02-14,125.205,448,55996.94055426288,52
Buy,2022-03-09,359.35,155,55996.94055426288,98
Sell (Updated Stop Loss),2022-03-14,366.53700000000003,155,56958.08173713854,98
Buy,2022-03-16,731.08,77,56958.08173713854,69
Sell (Max Holding Period),2022-04-18,868.98,77,67411.59790593834,69
Buy,2022-04-26,681.5,98,67411.59790593834,90
Sell (Updated Stop Loss),2022-05-04,633.5070000000001,98,62537.17272217529,90
Buy,2022-05-05,2221.1,28,62537.17272217529,50
Sell (Updated Stop Loss),2022-05-10,2265.522,28,63613.50156387393,50
Buy,2022-05-20,356.85,178,63613.50156387393,98
Sell (Updated Stop Loss),2022-05-25,363.987,178,64713.403636117866,98
Buy,2022-05-26,1816.2,35,64713.403636117866,76
Sell (Updated Stop Loss),2022-06-17,1615.2440000000001,35,57518.62616209447,76
Buy,2022-06-23,2819.05,20,57518.62616209447,15
Sell (DEMA Condition),2022-07-14,2955.1,20,60083.46514116447,15
Buy,2022-07-21,948.1,63,60083.46514116447,25
Sell (DEMA Condition),2022-08-04,1050.2,63,66347.97928080548,25
Buy,2022-08-17,1684.03,39,66347.97928080548,7
Sell,2022-09-01,1751.3912,39,68798.24768168366,7
Buy,2022-09-06,247.35,278,68798.24768168366,92
Sell (Updated Stop Loss),2022-09-22,230.084,278,63822.882502128734,92
Buy,2022-10-21,900.4,70,63822.882502128734,4
Sell (Max Holding Period),2022-11-23,874.7,70,61857.92346765874,4
Buy,2022-11-29,593.1,104,61857.92346765874,65
Sell (Max Holding Period),2022-12-30,561.45,104,58405.036524486735,65
Buy,2023-01-03,595.6,98,58405.036524486735,19
Sell (Updated Stop Loss),2023-01-09,607.5120000000001,98,59413.546858737776,19
Buy,2023-01-19,2129.08,27,59413.546858737776,139
Sell (DEMA Condition),2023-02-01,2342.18,27,65005.233138363576,139
Buy,2023-02-08,54.3,1197,65005.233138363576,97
Sell (Updated Stop Loss),2023-02-10,55.385999999999996,1197,66131.35765705077,97
Buy,2023-02-15,4487.9,14,66131.35765705077,2
Sell (Updated Stop Loss),2023-02-17,4577.657999999999,14,67219.03926721225,2
Buy,2023-03-01,711.65,94,67219.03926721225,53
Sell (DEMA Condition),2023-03-17,897.75,94,84516.29935825626,53
Buy,2023-04-06,841.4,100,84516.29935825626,62
Sell (Max Holding Period),2023-05-09,983.55,100,98500.30536680626,62
Buy,2023-05-11,1984.65,49,98500.30536680626,0
Sell (DEMA Condition),2023-05-30,2496.45,49,123306.10499693724,0
Buy,2023-05-31,1835.8,67,123306.10499693724,93
Sell (DEMA Condition),2023-07-03,1891.0,67,126698.46742346125,93
Buy,2023-07-04,1629.0,77,126698.46742346125,7
Sell (Updated Stop Loss),2023-08-03,1518.147,77,117864.97373293074,7
Buy,2023-08-04,4884.0,24,117864.97373293074,75
Sell (Updated Stop Loss),2023-08-14,4403.8,24,106064.05103361874,75
Buy,2023-08-22,110.8,957,106064.05103361874,109
Sell (DEMA Condition),2023-09-11,139.85,957,133569.83351666323,109
Buy,2023-09-15,5130.5,26,133569.83351666323,5
Sell (Max Holding Period),2023-10-18,5137.35,26,133422.61203655225,5
Buy,2023-10-19,5482.6,24,133422.61203655225,5
Sell (Updated Stop Loss),2023-10-23,5592.252,24,135730.24248510617,5
Buy,2023-10-27,1935.2,70,135730.24248510617,39
Sell (Updated Stop Loss),2023-11-07,1973.904,70,138106.74899815736,39
Buy,2023-11-08,1767.2,78,138106.74899815736,112
Sell (DEMA Condition),2023-11-22,1844.95,78,143829.41852409035,112
Buy,2023-11-24,677.65,212,143829.41852409035,79
Sell (DEMA Condition),2023-12-15,796.15,212,168575.30739811435,79
Buy,2023-12-19,2548.97,66,168575.30739811435,34
Sell (DEMA Condition),2024-01-05,2666.4,66,175914.09971315615,34
Buy,2024-01-11,4342.2,40,175914.09971315615,20
Sell,2024-01-23,4515.888,40,182438.74309513695,20
Buy,2024-01-25,2467.65,73,182438.74309513695,99
Sell (Updated Stop Loss),2024-01-31,2517.003,73,185607.96402996796,99
Buy,2024-02-01,1254.55,147,185607.96402996796,67
Sell (Max Holding Period),2024-03-05,1244.7,147,183722.54622224544,67
Buy,2024-03-06,2831.55,64,183722.54622224544,81
Sell (Updated Stop Loss),2024-03-11,2888.181,64,186910.9442507248,81
Buy,2024-03-20,3873.6,48,186910.9442507248,15
Sell (Updated Stop Loss),2024-03-27,3951.072,48,190182.98155620706,15
Buy,2024-04-02,201.05,945,190182.98155620706,101
Sell,2024-04-16,209.092,945,197322.65241539216,101
Buy,2024-04-23,216.85,909,197322.65241539216,101
Sell (Updated Stop Loss),2024-04-25,221.187,909,200793.13870426474,101
Buy,2024-04-26,1278.75,157,200793.13870426474,46
Sell (DEMA Condition),2024-05-24,1321.75,157,207061.01002052973,46
Buy,2024-05-31,755.8,273,207061.01002052973,52
Sell (Updated Stop Loss),2024-06-04,770.9159999999999,273,210695.04058687942,52
Buy,2024-06-07,484.55,434,210695.04058687942,49
Sell (DEMA Condition),2024-07-05,535.1,434,232112.36503232844,49

Final Capital:,232112.36503232844
Final Profit Percentage:,2221.1236503232844
Maximum Profit:,27800.84999999999
Maximum Loss:,-11524.799999999988
Accuracy:,81.17647058823529
Maximum Drawdown:,16.286239928125244
