Timestamp,Open,High,Low,Close,Volume
2021-01-01 00:00:00+05:30,377.4,379.8,374.1,376.8,782522.0
2021-01-04 00:00:00+05:30,380.05,381.8,371.0,375.6,1276148.0
2021-01-05 00:00:00+05:30,375.4,376.8,371.0,373.6,1271264.0
2021-01-06 00:00:00+05:30,375.4,377.0,365.6,369.4,1210141.0
2021-01-07 00:00:00+05:30,371.5,375.0,366.0,368.2,1272137.0
2021-01-08 00:00:00+05:30,371.45,374.5,367.0,369.35,1133002.0
2021-01-11 00:00:00+05:30,372.0,373.5,361.5,365.25,1288760.0
2021-01-12 00:00:00+05:30,365.3,370.0,364.0,365.0,1166548.0
2021-01-13 00:00:00+05:30,367.3,369.9,355.1,362.9,1171490.0
2021-01-14 00:00:00+05:30,364.6,364.6,353.0,361.1,948742.0
2021-01-15 00:00:00+05:30,360.5,368.0,357.35,359.95,1025332.0
2021-01-18 00:00:00+05:30,362.0,362.1,341.0,352.25,955710.0
2021-01-19 00:00:00+05:30,349.95,360.85,349.3,358.7,903105.0
2021-01-20 00:00:00+05:30,358.25,364.4,356.45,362.4,789710.0
2021-01-21 00:00:00+05:30,365.0,365.6,354.0,356.75,1013250.0
2021-01-22 00:00:00+05:30,356.75,365.0,348.5,363.6,928078.0
2021-01-25 00:00:00+05:30,369.45,389.0,368.0,377.65,2678231.0
2021-01-27 00:00:00+05:30,375.0,385.0,371.75,380.1,1431490.0
2021-01-28 00:00:00+05:30,377.95,382.2,363.4,379.3,1132714.0
2021-01-29 00:00:00+05:30,382.3,389.4,377.75,381.05,1112060.0
2021-02-01 00:00:00+05:30,385.25,391.2,381.05,389.1,2006191.0
2021-02-02 00:00:00+05:30,392.0,406.95,387.2,401.1,1671811.0
2021-02-03 00:00:00+05:30,405.8,413.15,382.15,389.65,1323237.0
2021-02-04 00:00:00+05:30,395.8,400.0,386.0,390.0,651944.0
2021-02-05 00:00:00+05:30,391.0,395.35,379.0,382.0,440803.0
2021-02-08 00:00:00+05:30,385.75,388.65,380.55,382.7,968820.0
