Timestamp,Open,High,Low,Close,Volume
2021-01-01 00:00:00+05:30,81.07,81.94,80.27,80.71,2165748.0
2021-01-04 00:00:00+05:30,80.89,85.42,80.5,84.56,6598213.0
2021-01-05 00:00:00+05:30,84.89,86.91,84.64,85.91,3172015.0
2021-01-06 00:00:00+05:30,86.04,86.67,84.71,85.34,1929733.0
2021-01-07 00:00:00+05:30,86.44,88.18,85.45,87.6,3462040.0
2021-01-08 00:00:00+05:30,87.61,90.23,86.48,88.01,2847485.0
2021-01-11 00:00:00+05:30,88.8,94.79,87.47,88.56,6125185.0
2021-01-12 00:00:00+05:30,89.27,89.6,85.87,86.08,3292513.0
2021-01-13 00:00:00+05:30,88.36,88.36,82.03,83.35,5096935.0
2021-01-14 00:00:00+05:30,82.93,82.93,80.62,80.98,4918443.0
2021-01-15 00:00:00+05:30,81.21,82.55,79.2,79.61,4218445.0
2021-01-18 00:00:00+05:30,79.61,80.53,76.93,77.9,2844123.0
2021-01-19 00:00:00+05:30,78.79,79.88,77.21,77.7,1977468.0
2021-01-20 00:00:00+05:30,78.22,82.31,78.22,81.5,3896930.0
2021-01-21 00:00:00+05:30,82.51,83.82,80.19,82.1,5340935.0
2021-01-22 00:00:00+05:30,82.67,82.67,80.0,80.36,1503943.0
2021-01-25 00:00:00+05:30,81.12,81.52,78.7,79.36,1574053.0
2021-01-27 00:00:00+05:30,79.56,82.04,79.11,80.05,3482875.0
2021-01-28 00:00:00+05:30,79.29,79.99,75.92,76.65,2034380.0
2021-01-29 00:00:00+05:30,76.98,80.84,76.89,79.88,5681540.0
2021-02-01 00:00:00+05:30,79.82,81.42,77.78,80.17,2176513.0
2021-02-02 00:00:00+05:30,80.84,81.03,76.98,77.34,5941563.0
2021-02-03 00:00:00+05:30,77.77,80.44,77.52,79.73,3679985.0
2021-02-04 00:00:00+05:30,80.0,80.89,78.23,80.26,3221335.0
2021-02-05 00:00:00+05:30,80.62,80.9,79.26,80.11,1353588.0
2021-02-08 00:00:00+05:30,80.2,80.85,78.4,78.87,2064430.0
2021-02-09 00:00:00+05:30,79.56,80.13,78.49,79.68,1235450.0
2021-02-10 00:00:00+05:30,80.31,80.89,78.26,79.2,2182150.0
2021-02-11 00:00:00+05:30,78.84,82.22,78.65,80.4,7241555.0
2021-02-12 00:00:00+05:30,80.71,81.95,80.44,81.12,1700120.0
2021-02-15 00:00:00+05:30,81.92,85.6,81.42,84.0,7158598.0
2021-02-16 00:00:00+05:30,85.16,85.33,79.38,80.14,12573560.0
2021-02-17 00:00:00+05:30,80.56,84.44,80.53,84.03,10956610.0
